year,location,educational_qualification,field_of_study,gender,age_group,population_group,median_income,number_graduates
2014,Alberta,"Career, technical or professional training diploma","Architecture, engineering, and related trades [8]",Man,35 to 64 years,Chinese,84900.0,40.0
2014,Alberta,"Career, technical or professional training diploma","Architecture, engineering, and related trades [8]",Man,35 to 64 years,Not a visible minority,70300.0,60.0
2014,Alberta,"Career, technical or professional training diploma","Architecture, engineering, and related trades [8]",Woman,15 to 34 years,Chinese,28600.0,20.0
2014,Alberta,"Career, technical or professional training diploma","Architecture, engineering, and related trades [8]",Woman,15 to 34 years,Filipino,63300.0,30.0
2014,Alberta,"Career, technical or professional training diploma","Architecture, engineering, and related trades [8]",Woman,15 to 34 years,Not a visible minority,68400.0,170.0
2014,Alberta,"Career, technical or professional training diploma","Business, management and public administration [5]",Man,15 to 34 years,Chinese,42000.0,30.0
2014,Alberta,"Career, technical or professional training diploma","Business, management and public administration [5]",Man,15 to 34 years,Filipino,54700.0,30.0
2014,Alberta,"Career, technical or professional training diploma","Business, management and public administration [5]",Man,15 to 34 years,Not a visible minority,58100.0,300.0
2014,Alberta,"Career, technical or professional training diploma","Business, management and public administration [5]",Man,35 to 64 years,Not a visible minority,75600.0,40.0
2014,Alberta,"Career, technical or professional training diploma","Business, management and public administration [5]",Woman,15 to 34 years,Arab,22300.0,30.0
2014,Alberta,"Career, technical or professional training diploma","Business, management and public administration [5]",Woman,15 to 34 years,Black,54500.0,30.0
2014,Alberta,"Career, technical or professional training diploma","Business, management and public administration [5]",Woman,15 to 34 years,Chinese,18100.0,30.0
2014,Alberta,"Career, technical or professional training diploma","Business, management and public administration [5]",Woman,15 to 34 years,Filipino,33200.0,50.0
2014,Alberta,"Career, technical or professional training diploma","Business, management and public administration [5]",Woman,15 to 34 years,Not a visible minority,50200.0,830.0
2014,Alberta,"Career, technical or professional training diploma","Business, management and public administration [5]",Woman,15 to 34 years,South Asian,51000.0,60.0
2014,Alberta,"Career, technical or professional training diploma","Business, management and public administration [5]",Woman,35 to 64 years,Chinese,28400.0,30.0
2014,Alberta,"Career, technical or professional training diploma","Business, management and public administration [5]",Woman,35 to 64 years,Not a visible minority,61500.0,140.0
2014,Alberta,"Career, technical or professional training diploma",Health and related fields [10],Man,15 to 34 years,Not a visible minority,77600.0,200.0
2014,Alberta,"Career, technical or professional training diploma",Health and related fields [10],Man,35 to 64 years,Not a visible minority,68600.0,50.0
2014,Alberta,"Career, technical or professional training diploma",Health and related fields [10],Woman,15 to 34 years,Black,52100.0,40.0
2014,Alberta,"Career, technical or professional training diploma",Health and related fields [10],Woman,15 to 34 years,Chinese,68300.0,40.0
2014,Alberta,"Career, technical or professional training diploma",Health and related fields [10],Woman,15 to 34 years,Filipino,59700.0,100.0
2014,Alberta,"Career, technical or professional training diploma",Health and related fields [10],Woman,15 to 34 years,Not a visible minority,64400.0,1190.0
2014,Alberta,"Career, technical or professional training diploma",Health and related fields [10],Woman,15 to 34 years,South Asian,58900.0,60.0
2014,Alberta,"Career, technical or professional training diploma",Health and related fields [10],Woman,35 to 64 years,Black,67600.0,40.0
2014,Alberta,"Career, technical or professional training diploma",Health and related fields [10],Woman,35 to 64 years,Filipino,61200.0,40.0
2014,Alberta,"Career, technical or professional training diploma",Health and related fields [10],Woman,35 to 64 years,Not a visible minority,61200.0,200.0
2014,Alberta,"Career, technical or professional training diploma","Mathematics, computer and information sciences [7]",Man,15 to 34 years,Not a visible minority,65400.0,100.0
2014,Alberta,"Career, technical or professional training diploma","Mathematics, computer and information sciences [7]",Woman,15 to 34 years,Not a visible minority,41500.0,40.0
2014,Alberta,"Career, technical or professional training diploma","Personal, protective and transportation services [11]",Man,15 to 34 years,Not a visible minority,52600.0,230.0
2014,Alberta,"Career, technical or professional training diploma","Personal, protective and transportation services [11]",Woman,15 to 34 years,Not a visible minority,41400.0,250.0
2014,Alberta,"Career, technical or professional training diploma",Physical and life sciences and technologies [6],Woman,15 to 34 years,Not a visible minority,52000.0,30.0
2014,Alberta,"Career, technical or professional training diploma",Social and behavioural sciences and law [4],Man,15 to 34 years,Not a visible minority,45500.0,180.0
2014,Alberta,"Career, technical or professional training diploma",Social and behavioural sciences and law [4],Woman,15 to 34 years,Not a visible minority,47000.0,400.0
2014,Alberta,"Career, technical or professional training diploma",Social and behavioural sciences and law [4],Woman,35 to 64 years,Not a visible minority,47800.0,70.0
2014,Alberta,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies [2]",Man,15 to 34 years,Not a visible minority,45100.0,110.0
2014,Alberta,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies [2]",Woman,15 to 34 years,Not a visible minority,42900.0,200.0
2014,Alberta,Doctoral degree,"Architecture, engineering, and related trades [8]",Man,15 to 34 years,West Asian,89500.0,30.0
2014,Alberta,Doctoral degree,Education [1],Woman,35 to 64 years,Not a visible minority,123700.0,20.0
2014,Alberta,Doctoral degree,Health and related fields [10],Woman,35 to 64 years,Not a visible minority,127300.0,30.0
2014,Alberta,Doctoral degree,Physical and life sciences and technologies [6],Man,15 to 34 years,Not a visible minority,88800.0,40.0
2014,Alberta,Doctoral degree,Physical and life sciences and technologies [6],Woman,15 to 34 years,Not a visible minority,53800.0,30.0
