year,location,educational_qualification,field_of_study,gender,age_group,population_group,median_income,number_graduates
2016,British Columbia,"Career, technical or professional training certificate",Health and related fields [10],Man,35 to 64 years,Not a visible minority,56300.0,70.0
2016,British Columbia,"Career, technical or professional training certificate",Health and related fields [10],Woman,15 to 34 years,Black,35100.0,30.0
2016,British Columbia,"Career, technical or professional training certificate",Health and related fields [10],Woman,15 to 34 years,Chinese,45000.0,90.0
2016,British Columbia,"Career, technical or professional training certificate",Health and related fields [10],Woman,15 to 34 years,Filipino,52000.0,110.0
2016,British Columbia,"Career, technical or professional training certificate",Health and related fields [10],Woman,15 to 34 years,Not a visible minority,43500.0,920.0
2016,British Columbia,"Career, technical or professional training certificate",Health and related fields [10],Woman,15 to 34 years,South Asian,38800.0,100.0
2016,British Columbia,"Career, technical or professional training certificate",Health and related fields [10],Woman,15 to 34 years,Southeast Asian,49000.0,40.0
2016,British Columbia,"Career, technical or professional training certificate",Health and related fields [10],Woman,35 to 64 years,Chinese,43800.0,30.0
2016,British Columbia,"Career, technical or professional training certificate",Health and related fields [10],Woman,35 to 64 years,Filipino,55900.0,100.0
2016,British Columbia,"Career, technical or professional training certificate",Health and related fields [10],Woman,35 to 64 years,Not a visible minority,45800.0,460.0
2016,British Columbia,"Career, technical or professional training certificate",Health and related fields [10],Woman,35 to 64 years,South Asian,54300.0,50.0
2016,British Columbia,"Career, technical or professional training certificate",Humanities [3],Woman,15 to 34 years,Not a visible minority,19500.0,30.0
2016,British Columbia,"Career, technical or professional training certificate","Mathematics, computer and information sciences [7]",Man,15 to 34 years,Not a visible minority,64700.0,30.0
2016,British Columbia,"Career, technical or professional training certificate","Personal, protective and transportation services [11]",Man,15 to 34 years,Not a visible minority,67600.0,250.0
2016,British Columbia,"Career, technical or professional training certificate","Personal, protective and transportation services [11]",Man,35 to 64 years,Not a visible minority,86700.0,190.0
2016,British Columbia,"Career, technical or professional training certificate","Personal, protective and transportation services [11]",Woman,15 to 34 years,Chinese,25700.0,30.0
2016,British Columbia,"Career, technical or professional training certificate","Personal, protective and transportation services [11]",Woman,15 to 34 years,Filipino,34800.0,20.0
2016,British Columbia,"Career, technical or professional training certificate","Personal, protective and transportation services [11]",Woman,15 to 34 years,Not a visible minority,33400.0,270.0
2016,British Columbia,"Career, technical or professional training certificate","Personal, protective and transportation services [11]",Woman,35 to 64 years,Not a visible minority,46100.0,50.0
2016,British Columbia,"Career, technical or professional training certificate",Social and behavioural sciences and law [4],Man,15 to 34 years,Not a visible minority,72000.0,40.0
2016,British Columbia,"Career, technical or professional training certificate",Social and behavioural sciences and law [4],Man,35 to 64 years,Not a visible minority,48600.0,40.0
2016,British Columbia,"Career, technical or professional training certificate",Social and behavioural sciences and law [4],Woman,15 to 34 years,Chinese,50400.0,60.0
2016,British Columbia,"Career, technical or professional training certificate",Social and behavioural sciences and law [4],Woman,15 to 34 years,Not a visible minority,47300.0,370.0
2016,British Columbia,"Career, technical or professional training certificate",Social and behavioural sciences and law [4],Woman,15 to 34 years,South Asian,28700.0,20.0
2016,British Columbia,"Career, technical or professional training certificate",Social and behavioural sciences and law [4],Woman,35 to 64 years,Not a visible minority,45600.0,140.0
2016,British Columbia,"Career, technical or professional training certificate","Visual and performing arts, and communications technologies [2]",Man,15 to 34 years,Chinese,25900.0,20.0
2016,British Columbia,"Career, technical or professional training certificate","Visual and performing arts, and communications technologies [2]",Man,15 to 34 years,Not a visible minority,45000.0,50.0
2016,British Columbia,"Career, technical or professional training certificate","Visual and performing arts, and communications technologies [2]",Woman,15 to 34 years,Chinese,47100.0,30.0
2016,British Columbia,"Career, technical or professional training certificate","Visual and performing arts, and communications technologies [2]",Woman,15 to 34 years,Not a visible minority,38600.0,110.0
2016,British Columbia,"Career, technical or professional training diploma","Agriculture, natural resources and conservation [9]",Man,15 to 34 years,Not a visible minority,65200.0,110.0
2016,British Columbia,"Career, technical or professional training diploma","Agriculture, natural resources and conservation [9]",Woman,15 to 34 years,Not a visible minority,50700.0,140.0
2016,British Columbia,"Career, technical or professional training diploma","Architecture, engineering, and related trades [8]",Man,15 to 34 years,Chinese,54600.0,100.0
2016,British Columbia,"Career, technical or professional training diploma","Architecture, engineering, and related trades [8]",Man,15 to 34 years,Filipino,56100.0,50.0
2016,British Columbia,"Career, technical or professional training diploma","Architecture, engineering, and related trades [8]",Man,15 to 34 years,Not a visible minority,67400.0,300.0
2016,British Columbia,"Career, technical or professional training diploma","Architecture, engineering, and related trades [8]",Man,15 to 34 years,South Asian,48700.0,60.0
2016,British Columbia,"Career, technical or professional training diploma","Architecture, engineering, and related trades [8]",Man,35 to 64 years,Not a visible minority,64500.0,70.0
2016,British Columbia,"Career, technical or professional training diploma","Architecture, engineering, and related trades [8]",Woman,15 to 34 years,Not a visible minority,61600.0,60.0
2016,British Columbia,"Career, technical or professional training diploma","Business, management and public administration [5]",Man,15 to 34 years,Chinese,47200.0,110.0
2016,British Columbia,"Career, technical or professional training diploma","Business, management and public administration [5]",Man,15 to 34 years,Filipino,48500.0,30.0
2016,British Columbia,"Career, technical or professional training diploma","Business, management and public administration [5]",Man,15 to 34 years,Not a visible minority,50800.0,210.0
2016,British Columbia,"Career, technical or professional training diploma","Business, management and public administration [5]",Man,15 to 34 years,South Asian,54100.0,110.0
2016,British Columbia,"Career, technical or professional training diploma","Business, management and public administration [5]",Man,35 to 64 years,Not a visible minority,35300.0,20.0
2016,British Columbia,"Career, technical or professional training diploma","Business, management and public administration [5]",Woman,15 to 34 years,Chinese,50000.0,110.0
2016,British Columbia,"Career, technical or professional training diploma","Business, management and public administration [5]",Woman,15 to 34 years,Filipino,45300.0,60.0
2016,British Columbia,"Career, technical or professional training diploma","Business, management and public administration [5]",Woman,15 to 34 years,Not a visible minority,48600.0,430.0
2016,British Columbia,"Career, technical or professional training diploma","Business, management and public administration [5]",Woman,15 to 34 years,South Asian,43700.0,70.0
2016,British Columbia,"Career, technical or professional training diploma","Business, management and public administration [5]",Woman,15 to 34 years,Southeast Asian,47200.0,40.0
2016,British Columbia,"Career, technical or professional training diploma","Business, management and public administration [5]",Woman,35 to 64 years,Not a visible minority,51000.0,90.0
2016,British Columbia,"Career, technical or professional training diploma",Education [1],Man,35 to 64 years,Not a visible minority,95100.0,50.0
2016,British Columbia,"Career, technical or professional training diploma",Education [1],Woman,35 to 64 years,Not a visible minority,76300.0,90.0
2016,British Columbia,"Career, technical or professional training diploma",Health and related fields [10],Man,15 to 34 years,Chinese,78900.0,30.0
2016,British Columbia,"Career, technical or professional training diploma",Health and related fields [10],Man,15 to 34 years,Not a visible minority,56300.0,100.0
2016,British Columbia,"Career, technical or professional training diploma",Health and related fields [10],Man,15 to 34 years,South Asian,67000.0,30.0
2016,British Columbia,"Career, technical or professional training diploma",Health and related fields [10],Woman,15 to 34 years,Chinese,73100.0,60.0
2016,British Columbia,"Career, technical or professional training diploma",Health and related fields [10],Woman,15 to 34 years,Filipino,52800.0,50.0
2016,British Columbia,"Career, technical or professional training diploma",Health and related fields [10],Woman,15 to 34 years,Not a visible minority,57400.0,400.0
2016,British Columbia,"Career, technical or professional training diploma",Health and related fields [10],Woman,15 to 34 years,South Asian,66600.0,40.0
2016,British Columbia,"Career, technical or professional training diploma",Health and related fields [10],Woman,35 to 64 years,Not a visible minority,58100.0,40.0
2016,British Columbia,"Career, technical or professional training diploma",Humanities [3],Man,15 to 34 years,Not a visible minority,39100.0,50.0
2016,British Columbia,"Career, technical or professional training diploma",Humanities [3],Woman,15 to 34 years,Not a visible minority,41300.0,70.0
2016,British Columbia,"Career, technical or professional training diploma","Mathematics, computer and information sciences [7]",Man,15 to 34 years,Chinese,54300.0,50.0
2016,British Columbia,"Career, technical or professional training diploma","Mathematics, computer and information sciences [7]",Man,15 to 34 years,Filipino,41000.0,20.0
2016,British Columbia,"Career, technical or professional training diploma","Mathematics, computer and information sciences [7]",Man,15 to 34 years,Not a visible minority,64200.0,120.0
2016,British Columbia,"Career, technical or professional training diploma","Mathematics, computer and information sciences [7]",Woman,15 to 34 years,Not a visible minority,54400.0,40.0
2016,British Columbia,"Career, technical or professional training diploma","Personal, protective and transportation services [11]",Man,15 to 34 years,Chinese,43200.0,20.0
2016,British Columbia,"Career, technical or professional training diploma","Personal, protective and transportation services [11]",Man,15 to 34 years,Not a visible minority,58800.0,100.0
2016,British Columbia,"Career, technical or professional training diploma","Personal, protective and transportation services [11]",Man,15 to 34 years,South Asian,68400.0,20.0
2016,British Columbia,"Career, technical or professional training diploma","Personal, protective and transportation services [11]",Woman,15 to 34 years,Not a visible minority,41400.0,60.0
2016,British Columbia,"Career, technical or professional training diploma",Social and behavioural sciences and law [4],Man,15 to 34 years,Not a visible minority,52400.0,80.0
2016,British Columbia,"Career, technical or professional training diploma",Social and behavioural sciences and law [4],Woman,15 to 34 years,Chinese,47600.0,50.0
2016,British Columbia,"Career, technical or professional training diploma",Social and behavioural sciences and law [4],Woman,15 to 34 years,Not a visible minority,45800.0,230.0
2016,British Columbia,"Career, technical or professional training diploma",Social and behavioural sciences and law [4],Woman,15 to 34 years,South Asian,42500.0,30.0
2016,British Columbia,"Career, technical or professional training diploma",Social and behavioural sciences and law [4],Woman,35 to 64 years,Not a visible minority,38600.0,70.0
2016,British Columbia,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies [2]",Man,15 to 34 years,Not a visible minority,38600.0,130.0
2016,British Columbia,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies [2]",Woman,15 to 34 years,Chinese,47700.0,30.0
2016,British Columbia,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies [2]",Woman,15 to 34 years,Not a visible minority,36100.0,210.0
2016,British Columbia,"Career, technical or professional training short credential","Agriculture, natural resources and conservation [9]",Man,15 to 34 years,Not a visible minority,47800.0,60.0
2016,British Columbia,"Career, technical or professional training short credential","Agriculture, natural resources and conservation [9]",Man,35 to 64 years,Not a visible minority,56800.0,30.0
2016,British Columbia,"Career, technical or professional training short credential","Agriculture, natural resources and conservation [9]",Woman,15 to 34 years,Not a visible minority,27700.0,60.0
2016,British Columbia,"Career, technical or professional training short credential","Agriculture, natural resources and conservation [9]",Woman,35 to 64 years,Not a visible minority,32900.0,40.0
2016,British Columbia,"Career, technical or professional training short credential","Architecture, engineering, and related trades [8]",Man,15 to 34 years,Not a visible minority,64500.0,30.0
2016,British Columbia,"Career, technical or professional training short credential","Architecture, engineering, and related trades [8]",Man,35 to 64 years,Not a visible minority,29800.0,30.0
2016,British Columbia,"Career, technical or professional training short credential","Architecture, engineering, and related trades [8]",Woman,35 to 64 years,Not a visible minority,41700.0,40.0
2016,British Columbia,"Career, technical or professional training short credential","Business, management and public administration [5]",Man,15 to 34 years,Not a visible minority,57100.0,60.0
2016,British Columbia,"Career, technical or professional training short credential","Business, management and public administration [5]",Man,35 to 64 years,Not a visible minority,78500.0,100.0
2016,British Columbia,"Career, technical or professional training short credential","Business, management and public administration [5]",Woman,15 to 34 years,Not a visible minority,38800.0,110.0
2016,British Columbia,"Career, technical or professional training short credential","Business, management and public administration [5]",Woman,35 to 64 years,Chinese,56000.0,40.0
2016,British Columbia,"Career, technical or professional training short credential","Business, management and public administration [5]",Woman,35 to 64 years,Not a visible minority,51100.0,230.0
2016,British Columbia,"Career, technical or professional training short credential",Health and related fields [10],Woman,15 to 34 years,Not a visible minority,42700.0,150.0
2016,British Columbia,"Career, technical or professional training short credential",Health and related fields [10],Woman,35 to 64 years,Not a visible minority,58100.0,130.0
2016,British Columbia,"Career, technical or professional training short credential","Personal, protective and transportation services [11]",Man,15 to 34 years,Not a visible minority,73600.0,40.0
2016,British Columbia,"Career, technical or professional training short credential","Personal, protective and transportation services [11]",Man,15 to 34 years,South Asian,48100.0,270.0
2016,British Columbia,"Career, technical or professional training short credential","Personal, protective and transportation services [11]",Man,35 to 64 years,Not a visible minority,55100.0,50.0
2016,British Columbia,"Career, technical or professional training short credential","Personal, protective and transportation services [11]",Man,35 to 64 years,South Asian,41300.0,270.0
2016,British Columbia,"Career, technical or professional training short credential","Personal, protective and transportation services [11]",Woman,15 to 34 years,Not a visible minority,75100.0,30.0
2016,British Columbia,"Career, technical or professional training short credential","Personal, protective and transportation services [11]",Woman,35 to 64 years,Not a visible minority,71000.0,40.0
2016,British Columbia,"Career, technical or professional training short credential",Social and behavioural sciences and law [4],Woman,35 to 64 years,Not a visible minority,82600.0,30.0
2016,British Columbia,Doctoral degree,Education [1],Woman,35 to 64 years,Not a visible minority,63600.0,40.0
2016,British Columbia,Doctoral degree,Physical and life sciences and technologies [6],Man,15 to 34 years,Not a visible minority,63600.0,30.0
2016,British Columbia,Doctoral degree,Physical and life sciences and technologies [6],Woman,15 to 34 years,Not a visible minority,43800.0,30.0
2016,British Columbia,Doctoral degree,Social and behavioural sciences and law [4],Woman,15 to 34 years,Not a visible minority,100100.0,30.0
2016,British Columbia,Doctoral degree,Social and behavioural sciences and law [4],Woman,35 to 64 years,Not a visible minority,46300.0,40.0
2016,British Columbia,Master's degree,"Agriculture, natural resources and conservation [9]",Man,15 to 34 years,Not a visible minority,89400.0,30.0
2016,British Columbia,Master's degree,"Agriculture, natural resources and conservation [9]",Man,35 to 64 years,Not a visible minority,127300.0,40.0
2016,British Columbia,Master's degree,"Agriculture, natural resources and conservation [9]",Woman,15 to 34 years,Not a visible minority,75700.0,50.0
2016,British Columbia,Master's degree,"Agriculture, natural resources and conservation [9]",Woman,35 to 64 years,Not a visible minority,88400.0,30.0
2016,British Columbia,Master's degree,"Architecture, engineering, and related trades [8]",Man,15 to 34 years,Chinese,52300.0,30.0
2016,British Columbia,Master's degree,"Architecture, engineering, and related trades [8]",Man,15 to 34 years,Not a visible minority,81800.0,70.0
2016,British Columbia,Master's degree,"Architecture, engineering, and related trades [8]",Woman,15 to 34 years,Not a visible minority,81100.0,50.0
2016,British Columbia,Master's degree,"Business, management and public administration [5]",Man,15 to 34 years,Chinese,65300.0,30.0
2016,British Columbia,Master's degree,"Business, management and public administration [5]",Man,15 to 34 years,Not a visible minority,92900.0,90.0
2016,British Columbia,Master's degree,"Business, management and public administration [5]",Man,35 to 64 years,Not a visible minority,148900.0,130.0
2016,British Columbia,Master's degree,"Business, management and public administration [5]",Woman,15 to 34 years,Not a visible minority,76500.0,150.0
2016,British Columbia,Master's degree,"Business, management and public administration [5]",Woman,35 to 64 years,Not a visible minority,109500.0,270.0
2016,British Columbia,Master's degree,Education [1],Man,15 to 34 years,Not a visible minority,103200.0,50.0
2016,British Columbia,Master's degree,Education [1],Man,35 to 64 years,Not a visible minority,111100.0,110.0
2016,British Columbia,Master's degree,Education [1],Woman,15 to 34 years,Not a visible minority,85800.0,160.0
2016,British Columbia,Master's degree,Education [1],Woman,35 to 64 years,Chinese,101500.0,30.0
2016,British Columbia,Master's degree,Education [1],Woman,35 to 64 years,Not a visible minority,107800.0,300.0
2016,British Columbia,Master's degree,Education [1],Woman,35 to 64 years,South Asian,99200.0,20.0
2016,British Columbia,Master's degree,Health and related fields [10],Man,15 to 34 years,Not a visible minority,88000.0,60.0
2016,British Columbia,Master's degree,Health and related fields [10],Man,35 to 64 years,Not a visible minority,107600.0,20.0
2016,British Columbia,Master's degree,Health and related fields [10],Woman,15 to 34 years,Chinese,85400.0,30.0
2016,British Columbia,Master's degree,Health and related fields [10],Woman,15 to 34 years,Not a visible minority,78900.0,220.0
2016,British Columbia,Master's degree,Health and related fields [10],Woman,35 to 64 years,Not a visible minority,109200.0,80.0
2016,British Columbia,Master's degree,Humanities [3],Woman,15 to 34 years,Not a visible minority,54100.0,40.0
2016,British Columbia,Master's degree,Humanities [3],Woman,35 to 64 years,Not a visible minority,70800.0,40.0
2016,British Columbia,Master's degree,"Mathematics, computer and information sciences [7]",Woman,15 to 34 years,Not a visible minority,81900.0,40.0
2016,British Columbia,Master's degree,"Personal, protective and transportation services [11]",Man,35 to 64 years,Not a visible minority,124600.0,30.0
2016,British Columbia,Master's degree,Physical and life sciences and technologies [6],Man,15 to 34 years,Not a visible minority,63900.0,40.0
2016,British Columbia,Master's degree,Physical and life sciences and technologies [6],Woman,15 to 34 years,Not a visible minority,58700.0,20.0
2016,British Columbia,Master's degree,Social and behavioural sciences and law [4],Man,15 to 34 years,Not a visible minority,79200.0,70.0
2016,British Columbia,Master's degree,Social and behavioural sciences and law [4],Man,35 to 64 years,Not a visible minority,89500.0,20.0
2016,British Columbia,Master's degree,Social and behavioural sciences and law [4],Woman,15 to 34 years,Not a visible minority,62300.0,140.0
2016,British Columbia,Master's degree,Social and behavioural sciences and law [4],Woman,35 to 64 years,Not a visible minority,96800.0,110.0
2016,British Columbia,Master's degree,"Visual and performing arts, and communications technologies [2]",Woman,15 to 34 years,Not a visible minority,42600.0,30.0
2016,British Columbia,"Post career, technical or professional training program certificate",Health and related fields [10],Woman,15 to 34 years,Chinese,104100.0,40.0
2016,British Columbia,"Post career, technical or professional training program certificate",Health and related fields [10],Woman,15 to 34 years,Filipino,83300.0,30.0
2016,British Columbia,"Post career, technical or professional training program certificate",Health and related fields [10],Woman,15 to 34 years,Not a visible minority,88600.0,200.0
2016,British Columbia,"Post career, technical or professional training program certificate",Health and related fields [10],Woman,35 to 64 years,Not a visible minority,104300.0,110.0
2016,British Columbia,Post-baccalaureate non-graduate diploma,"Business, management and public administration [5]",Man,15 to 34 years,Chinese,55900.0,30.0
2016,British Columbia,Post-baccalaureate non-graduate diploma,"Business, management and public administration [5]",Man,15 to 34 years,Not a visible minority,52100.0,20.0
2016,British Columbia,Post-baccalaureate non-graduate diploma,"Business, management and public administration [5]",Woman,15 to 34 years,Chinese,55700.0,50.0
2016,British Columbia,Post-baccalaureate non-graduate diploma,"Business, management and public administration [5]",Woman,15 to 34 years,Not a visible minority,60000.0,40.0
2016,British Columbia,Post-baccalaureate non-graduate diploma,Education [1],Woman,15 to 34 years,Not a visible minority,64200.0,90.0
2016,British Columbia,Post-baccalaureate non-graduate diploma,Education [1],Woman,15 to 34 years,South Asian,78700.0,20.0
2016,British Columbia,Post-baccalaureate non-graduate diploma,Education [1],Woman,35 to 64 years,Not a visible minority,89600.0,80.0
2016,British Columbia,Post-baccalaureate non-graduate diploma,Health and related fields [10],Woman,35 to 64 years,Not a visible minority,101000.0,40.0
2016,British Columbia,Post-baccalaureate non-graduate diploma,Social and behavioural sciences and law [4],Man,15 to 34 years,Not a visible minority,91100.0,30.0
2016,British Columbia,Professional degree,Health and related fields [10],Man,15 to 34 years,Chinese,106800.0,40.0
2016,British Columbia,Professional degree,Health and related fields [10],Man,15 to 34 years,Not a visible minority,110000.0,50.0
2016,British Columbia,Professional degree,Health and related fields [10],Woman,15 to 34 years,Chinese,98400.0,60.0
2016,British Columbia,Professional degree,Health and related fields [10],Woman,15 to 34 years,Not a visible minority,115300.0,60.0
2016,British Columbia,Professional degree,Social and behavioural sciences and law [4],Man,15 to 34 years,Chinese,101800.0,30.0
2016,British Columbia,Professional degree,Social and behavioural sciences and law [4],Man,15 to 34 years,Not a visible minority,100000.0,130.0
2016,British Columbia,Professional degree,Social and behavioural sciences and law [4],Man,35 to 64 years,Not a visible minority,81600.0,20.0
2016,British Columbia,Professional degree,Social and behavioural sciences and law [4],Woman,15 to 34 years,Not a visible minority,93200.0,150.0
2016,British Columbia,Undergraduate degree,"Agriculture, natural resources and conservation [9]",Man,15 to 34 years,Not a visible minority,75000.0,80.0
2016,British Columbia,Undergraduate degree,"Agriculture, natural resources and conservation [9]",Woman,15 to 34 years,Not a visible minority,46900.0,90.0
2016,British Columbia,Undergraduate degree,"Architecture, engineering, and related trades [8]",Man,15 to 34 years,Chinese,69900.0,210.0
2016,British Columbia,Undergraduate degree,"Architecture, engineering, and related trades [8]",Man,15 to 34 years,Korean,67700.0,30.0
2016,British Columbia,Undergraduate degree,"Architecture, engineering, and related trades [8]",Man,15 to 34 years,Multiple visible minorities,85200.0,30.0
2016,British Columbia,Undergraduate degree,"Architecture, engineering, and related trades [8]",Man,15 to 34 years,Not a visible minority,82200.0,470.0
2016,British Columbia,Undergraduate degree,"Architecture, engineering, and related trades [8]",Man,15 to 34 years,South Asian,84300.0,80.0
2016,British Columbia,Undergraduate degree,"Architecture, engineering, and related trades [8]",Man,15 to 34 years,West Asian,82700.0,30.0
2016,British Columbia,Undergraduate degree,"Architecture, engineering, and related trades [8]",Man,35 to 64 years,Not a visible minority,97000.0,20.0
2016,British Columbia,Undergraduate degree,"Architecture, engineering, and related trades [8]",Woman,15 to 34 years,Chinese,61100.0,50.0
2016,British Columbia,Undergraduate degree,"Architecture, engineering, and related trades [8]",Woman,15 to 34 years,Not a visible minority,77300.0,70.0
2016,British Columbia,Undergraduate degree,"Business, management and public administration [5]",Man,15 to 34 years,Chinese,56700.0,350.0
2016,British Columbia,Undergraduate degree,"Business, management and public administration [5]",Man,15 to 34 years,Filipino,71500.0,20.0
2016,British Columbia,Undergraduate degree,"Business, management and public administration [5]",Man,15 to 34 years,Korean,58600.0,20.0
2016,British Columbia,Undergraduate degree,"Business, management and public administration [5]",Man,15 to 34 years,Multiple visible minorities,56200.0,20.0
2016,British Columbia,Undergraduate degree,"Business, management and public administration [5]",Man,15 to 34 years,Not a visible minority,63600.0,700.0
2016,British Columbia,Undergraduate degree,"Business, management and public administration [5]",Man,15 to 34 years,South Asian,60300.0,220.0
2016,British Columbia,Undergraduate degree,"Business, management and public administration [5]",Man,15 to 34 years,West Asian,58000.0,50.0
2016,British Columbia,Undergraduate degree,"Business, management and public administration [5]",Man,35 to 64 years,Not a visible minority,70900.0,80.0
2016,British Columbia,Undergraduate degree,"Business, management and public administration [5]",Woman,15 to 34 years,Chinese,58400.0,370.0
2016,British Columbia,Undergraduate degree,"Business, management and public administration [5]",Woman,15 to 34 years,Filipino,55300.0,60.0
2016,British Columbia,Undergraduate degree,"Business, management and public administration [5]",Woman,15 to 34 years,Not a visible minority,60000.0,850.0
2016,British Columbia,Undergraduate degree,"Business, management and public administration [5]",Woman,15 to 34 years,South Asian,58400.0,200.0
2016,British Columbia,Undergraduate degree,"Business, management and public administration [5]",Woman,15 to 34 years,Southeast Asian,55500.0,50.0
2016,British Columbia,Undergraduate degree,"Business, management and public administration [5]",Woman,35 to 64 years,Not a visible minority,69100.0,180.0
2016,British Columbia,Undergraduate degree,Education [1],Man,15 to 34 years,Chinese,64500.0,40.0
2016,British Columbia,Undergraduate degree,Education [1],Man,15 to 34 years,Not a visible minority,64500.0,270.0
2016,British Columbia,Undergraduate degree,Education [1],Man,35 to 64 years,Not a visible minority,76500.0,40.0
2016,British Columbia,Undergraduate degree,Education [1],Woman,15 to 34 years,Chinese,63800.0,50.0
2016,British Columbia,Undergraduate degree,Education [1],Woman,15 to 34 years,Not a visible minority,63200.0,670.0
2016,British Columbia,Undergraduate degree,Education [1],Woman,15 to 34 years,South Asian,61900.0,90.0
2016,British Columbia,Undergraduate degree,Education [1],Woman,35 to 64 years,Not a visible minority,62900.0,150.0
2016,British Columbia,Undergraduate degree,Health and related fields [10],Man,15 to 34 years,Chinese,57100.0,80.0
2016,British Columbia,Undergraduate degree,Health and related fields [10],Man,15 to 34 years,Filipino,74700.0,50.0
2016,British Columbia,Undergraduate degree,Health and related fields [10],Man,15 to 34 years,Not a visible minority,67100.0,230.0
2016,British Columbia,Undergraduate degree,Health and related fields [10],Man,15 to 34 years,South Asian,65400.0,70.0
2016,British Columbia,Undergraduate degree,Health and related fields [10],Man,35 to 64 years,Not a visible minority,84500.0,30.0
2016,British Columbia,Undergraduate degree,Health and related fields [10],Woman,15 to 34 years,Chinese,78900.0,200.0
2016,British Columbia,Undergraduate degree,Health and related fields [10],Woman,15 to 34 years,Filipino,88500.0,70.0
2016,British Columbia,Undergraduate degree,Health and related fields [10],Woman,15 to 34 years,Korean,83100.0,50.0
2016,British Columbia,Undergraduate degree,Health and related fields [10],Woman,15 to 34 years,Not a visible minority,77600.0,1170.0
2016,British Columbia,Undergraduate degree,Health and related fields [10],Woman,15 to 34 years,South Asian,84600.0,210.0
2016,British Columbia,Undergraduate degree,Health and related fields [10],Woman,15 to 34 years,Southeast Asian,60800.0,20.0
2016,British Columbia,Undergraduate degree,Health and related fields [10],Woman,35 to 64 years,Not a visible minority,90200.0,190.0
2016,British Columbia,Undergraduate degree,Humanities [3],Man,15 to 34 years,Chinese,31400.0,60.0
2016,British Columbia,Undergraduate degree,Humanities [3],Man,15 to 34 years,Not a visible minority,50100.0,330.0
2016,British Columbia,Undergraduate degree,Humanities [3],Man,15 to 34 years,South Asian,53500.0,20.0
2016,British Columbia,Undergraduate degree,Humanities [3],Man,35 to 64 years,Not a visible minority,55000.0,50.0
2016,British Columbia,Undergraduate degree,Humanities [3],Woman,15 to 34 years,Chinese,46900.0,100.0
2016,British Columbia,Undergraduate degree,Humanities [3],Woman,15 to 34 years,Not a visible minority,49300.0,510.0
2016,British Columbia,Undergraduate degree,Humanities [3],Woman,15 to 34 years,South Asian,48100.0,60.0
2016,British Columbia,Undergraduate degree,Humanities [3],Woman,35 to 64 years,Not a visible minority,57000.0,60.0
2016,British Columbia,Undergraduate degree,"Mathematics, computer and information sciences [7]",Man,15 to 34 years,Chinese,68400.0,120.0
2016,British Columbia,Undergraduate degree,"Mathematics, computer and information sciences [7]",Man,15 to 34 years,Not a visible minority,73800.0,170.0
2016,British Columbia,Undergraduate degree,"Mathematics, computer and information sciences [7]",Man,15 to 34 years,South Asian,78100.0,20.0
2016,British Columbia,Undergraduate degree,"Mathematics, computer and information sciences [7]",Woman,15 to 34 years,Chinese,67600.0,60.0
2016,British Columbia,Undergraduate degree,"Mathematics, computer and information sciences [7]",Woman,15 to 34 years,Not a visible minority,76500.0,50.0
2016,British Columbia,Undergraduate degree,Other instructional programs [12],Woman,15 to 34 years,Not a visible minority,40000.0,50.0
2016,British Columbia,Undergraduate degree,"Personal, protective and transportation services [11]",Man,15 to 34 years,Not a visible minority,65000.0,70.0
2016,British Columbia,Undergraduate degree,"Personal, protective and transportation services [11]",Woman,15 to 34 years,Not a visible minority,57100.0,50.0
2016,British Columbia,Undergraduate degree,"Personal, protective and transportation services [11]",Woman,15 to 34 years,South Asian,59300.0,30.0
2016,British Columbia,Undergraduate degree,Physical and life sciences and technologies [6],Man,15 to 34 years,Chinese,49500.0,110.0
2016,British Columbia,Undergraduate degree,Physical and life sciences and technologies [6],Man,15 to 34 years,Not a visible minority,51500.0,290.0
2016,British Columbia,Undergraduate degree,Physical and life sciences and technologies [6],Man,15 to 34 years,South Asian,18800.0,40.0
2016,British Columbia,Undergraduate degree,Physical and life sciences and technologies [6],Woman,15 to 34 years,Chinese,45300.0,100.0
2016,British Columbia,Undergraduate degree,Physical and life sciences and technologies [6],Woman,15 to 34 years,Not a visible minority,47200.0,260.0
2016,British Columbia,Undergraduate degree,Physical and life sciences and technologies [6],Woman,15 to 34 years,South Asian,48100.0,70.0
2016,British Columbia,Undergraduate degree,Social and behavioural sciences and law [4],Man,15 to 34 years,Chinese,50900.0,300.0
2016,British Columbia,Undergraduate degree,Social and behavioural sciences and law [4],Man,15 to 34 years,Filipino,52700.0,20.0
2016,British Columbia,Undergraduate degree,Social and behavioural sciences and law [4],Man,15 to 34 years,Korean,68100.0,40.0
2016,British Columbia,Undergraduate degree,Social and behavioural sciences and law [4],Man,15 to 34 years,Not a visible minority,51900.0,610.0
2016,British Columbia,Undergraduate degree,Social and behavioural sciences and law [4],Man,15 to 34 years,South Asian,59600.0,110.0
2016,British Columbia,Undergraduate degree,Social and behavioural sciences and law [4],Man,35 to 64 years,Not a visible minority,68600.0,20.0
2016,British Columbia,Undergraduate degree,Social and behavioural sciences and law [4],Woman,15 to 34 years,Chinese,42700.0,510.0
2016,British Columbia,Undergraduate degree,Social and behavioural sciences and law [4],Woman,15 to 34 years,Filipino,41800.0,40.0
